"The Merry Meeple  ·  Game Library  ·  1086 Fulton Street, Bed-Stuy, Brooklyn",,,,,,,,,,,
348 titles  ·  BGG data matched for 224 titles  ·  MSRP & Street Price approximate — verify before ordering  ·  ★ = NYC/Brooklyn theme,,,,,,,,,,,
#,Game Name,Category,NYC,BGG Rank,Rating,Weight,Why We're Stocking It,Staff Notes,Distributor,MSRP ($),Street (~$)
17,Inhuman Conditions,Party,,,,,One player may be a robot; the other must figure it out through conversation. Plays in 10 minutes. Generates intense focused dialogue.,Two-player interrogation game about AI detection,Alliance Game Distributors,$24.99,$19.99
18,Jenga,Party,,,,,"Every casual visitor knows Jenga. Physical tension of a wobbling tower creates crowd moments. 1+ players, 5–15 minutes. Buy commercial-grade blocks for durability.",Classic tower dexterity; maximum brand recognition,Alliance Game Distributors,$19.99,$15.99
19,Jungle Speed,Party,,,,,"Players flip cards and race to grab the totem on matches. Physical, fast, and universally accessible. A café classic in France.",Speed-reflexes totem-grabbing game,Asmodee USA Direct,$19.99,$15.99
20,Just One,Party,,156,7.59,1.0,"Everyone writes a clue simultaneously; duplicates cancel. Teaches instantly, plays up to 7, no reading beyond single words. Ideal table-opener for mixed-experience groups.",Cooperative word game; Spiel des Jahres winner,Asmodee USA Direct,$19.99,$16.99
21,King of Tokyo,Party,,489,7.11,1.5,Players roll Yahtzee-style dice as giant monsters attacking Tokyo. Plays 2–6 in 30 minutes. Generates genuine table energy.,"Monster brawl dice game; high energy, fast teaches",Alliance Game Distributors,$44.99,$35.99
22,Llama,Party,,,,,"Play or pass — but don't get caught with high cards. Very fast, very simple. One of the best large-hand card games for non-gamers.",Hand management card game; Spiel des Jahres winner,Alliance Game Distributors,$9.99,$7.99
23,Monikers,Party,,302,7.76,1.1,"Players describe names from cards using words, then one word, then gestures. Builds hilarity across rounds. Plays 4–16 — excellent for large groups.",Three-round party game escalating from words to charades,Alliance Game Distributors,$29.99,$23.99
24,No Thanks!,Party,,551,7.08,1.1,Players accept or pass numbered cards using chips. The simplest possible ruleset with genuine strategy. Plays 3–5 in 20 minutes.,Minimal card-taking game; clever and fast,Alliance Game Distributors,$12.99,$10.99
25,Parade,Party,,996,6.99,1.5,"Players extend a parade of cards, trying to avoid collecting too many. Plays 2–6 in 30 minutes. Elegant and slightly melancholy aesthetic.",Wonderland-themed hand management card game,Asmodee USA Direct,$24.99,$19.99
26,Pictomania,Party,,,,,Everyone draws and guesses at the same time — no waiting. Plays 3–6 in 25 minutes. Much faster and fairer than Pictionary.,Simultaneous drawing and guessing; perfectly frantic,Alliance Game Distributors,$29.99,$23.99
27,Poetry for Neanderthals,Party,,,,,Players describe words using only one-syllable words or face a foam bat. Plays 2–12 in 30 minutes. The inflatable stick guarantees engagement.,Caveman-vocabulary guessing game; very funny,Asmodee USA Direct,$19.99,$15.99
28,Quacks of Quedlinburg,Party,,,,,Players draw ingredients from a bag hoping not to explode their cauldron. Simultaneously competitive yet low-conflict. Plays 2–4 in 45 minutes.,Push-your-luck potion brewing; Spiel des Jahres winner,Alliance Game Distributors,$49.99,$39.99
29,Skull,Party,,488,7.17,1.1,One of the most elegant bluffing games ever made. Plays 3–6 in 15–30 minutes. The coaster-sized discs are café-native and nearly indestructible.,Pure bluffing with coasters; beautiful design,Asmodee USA Direct,$19.99,$15.99
30,Snake Oil,Party,,,,,Players combine word cards to pitch absurd products to a changing customer. Works brilliantly for improv-friendly groups. Plays 3–10 in 30 minutes.,Pitch ridiculous products; improv comedy game,Alliance Game Distributors,$19.99,$15.99
31,So Clover!,Party,,272,7.59,1.1,Players write clues linking adjacent word pairs on a clover-shaped card. Collaborative and satisfying. Spiel des Jahres nominee. Plays 2–6 in 30 minutes.,Cooperative word-linkage puzzle,Asmodee USA Direct,$24.99,$19.99
32,Spaceteam,Party,,,,,"Players shout nonsense instructions at each other to fix a spaceship. Fast, loud, and uniquely energetic. Plays 2–6 in 10 minutes.",Real-time cooperative chaos with cards,Alliance Game Distributors,$19.99,$15.99
33,Spot It!,Party,,,,,Every two cards share exactly one symbol. Multiple mini-games in one tin. Plays 2–8 in 15 minutes. Café-indestructible and universally loved.,"Speed-matching pattern game; any age, any group",Asmodee USA Direct,$14.99,$11.99
34,Spyfall,Party,,,,,One player is a spy at an unknown location; everyone else knows where they are. Plays 3–8 in 15 minutes. Generates wild accusations and laughter.,Location deduction with a spy; instant fun,Alliance Game Distributors,$24.99,$19.99
35,Sushi Go Party!,Party,,286,7.37,1.3,Scales to 8 players with modular dish selection. Ideal for Friday and Saturday evening groups. The customizable format keeps it fresh across multiple visits.,Expanded Sushi Go for larger groups,Alliance Game Distributors,$34.99,$27.99
36,Sushi Go!,Party,,654,6.98,1.2,"Introduces card drafting in under 5 minutes. Plays 2–5, rounds take 15 minutes, and the sushi theme is universally appealing. One of the best entry points for non-gamers wanting structure.",Fast card-drafting gateway; 15-minute plays,Alliance Game Distributors,$14.99,$11.99
37,Taco Cat Goat Cheese Pizza,Party,,,,,"Players chant the title while flipping cards; matching triggers slapping. Teaches instantly, plays 2–8, fits in a pocket. Great filler between heavier games.",Speed card-slapping game; any age,Alliance Game Distributors,$12.99,$10.99
38,Take 6!,Party,,,,,Players simultaneously place numbered cards — lowest placed in a row but never take the sixth. Plays 2–10 in 20 minutes. Elegant tension.,Tactical card placement; hidden depth in 20 minutes,Alliance Game Distributors,$14.99,$11.99
39,Telestrations,Party,,348,7.38,1.1,"Works for 4–8 players with zero game knowledge required. Generates loud, shareable moments. High-energy game that can carry a whole evening.",Telephone meets drawing; guaranteed moments,Alliance Game Distributors,$29.99,$24.99
40,The Chameleon,Party,,,,,One player secretly doesn't know the topic and must bluff. Creates instant paranoia. Plays 3–8 in 15 minutes with zero setup.,Hidden-identity word game; short and sharp,Alliance Game Distributors,$24.99,$19.99
41,The Mind,Party,,,,,"Players play numbered cards in ascending order without communicating. Creates shared focus and genuine excitement. Plays 2–4, teaches in 60 seconds.",Silent cooperative card game; creates real tension,Alliance Game Distributors,$14.99,$11.99
42,Timeline: Inventions,Party,,,,,Players place invention cards on a timeline. No need to know the exact date — just relative order. Plays 2–8 in 20 minutes. Also educational.,Historical trivia placement; no knowledge required,Asmodee USA Direct,$19.99,$15.99
43,Uno,Party,,,,,2–10 in 30 minutes. Near-zero explanation required. Comfort pick for visitors who want something familiar. Stock multiple copies.,Universal card game; world's most-played card,Alliance Game Distributors,$9.99,$7.99
44,Wavelength,Party,,526,7.20,1.1,"Players debate where a concept falls on a spectrum. Zero rules overhead, works for non-gamers, generates genuine disagreement. Strong fit for Games With Strangers events.",Spectrum debate game; generates real conversation,Alliance Game Distributors,$35.00,$28.99
45,We're Doomed!,Party,,,,,Players argue over spaceship resources while a timer counts down. Creates genuine drama and betrayal. Plays 4–10 in 20 minutes.,Real-time resource negotiation with a countdown,Alliance Game Distributors,$29.99,$23.99
46,Wits & Wagers,Party,,855,6.93,1.2,Players bet on who gave the closest answer — not who knows the most. Makes trivia accessible to everyone. Plays 3–7 in 25 minutes.,Trivia betting game; no knowledge required,Alliance Game Distributors,$34.99,$27.99
47,7 Wonders: Duel,Mid-Weight Strategy,,24,8.08,2.2,The best pure two-player game in the hobby according to many. Plays in 30 minutes. Also lives in Two-Player but warrants the mid-weight mention.,7 Wonders distilled for exactly two; phenomenal design,Asmodee USA Direct,$34.99,$27.99
48,Agricola,Mid-Weight Strategy,,84,7.96,3.4,"BGG rank #84, rating 7.96, weight 3.6. 1–4 in 30–120 minutes. The definitive worker placement game. Hobbyists specifically visit cafés to play this. Should have been in from the start.","Worker placement landmark; BGG rank #84, rating 7.96",Alliance Game Distributors,$59.99,$47.99
49,Altiplano,Mid-Weight Strategy,,473,7.42,3.3,Players draw goods from personal bags to develop their Andean estates. 2–5 in 60–90 minutes. Peaceful but strategic.,Bag-building resource management; South American theme,Alliance Game Distributors,$59.99,$47.99
50,Archeos Society,Mid-Weight Strategy,,,,,Players collect artifact sets from archaeological sites. 2–5 in 45–60 minutes. Very approachable for mid-weight — serves as a bridge.,Card-collection archaeology game; Days of Wonder production,Asmodee USA Direct,$44.99,$35.99
51,Architects of the West Kingdom,Mid-Weight Strategy,,130,7.71,2.8,Plays 1–5 in 60–80 minutes. Worker-placement with a debt/virtue mechanic that creates genuine player decisions. Excellent mid-session game.,Worker placement with virtue mechanic; 60–80 min,Alliance Game Distributors,$54.99,$43.99
52,Bora Bora,Mid-Weight Strategy,,325,7.56,3.7,Players develop island tribes using dice placement and resource management. 2–4 in 75 minutes. Complex and rewarding.,Dice placement tribal expansion game,Alliance Game Distributors,$54.99,$43.99
53,Brass: Lancashire,Mid-Weight Strategy,,23,8.20,3.8,The original Brass before Birmingham's refinements. 2–4 in 60–120 minutes. Different enough from Birmingham in pacing and strategy to justify both for dedicated enthusiasts.,Original Brass; textile industrialist network building,Alliance Game Distributors,$54.99,$43.99
54,Bruges,Mid-Weight Strategy,,385,7.43,2.8,Players use cards for multiple purposes in developing medieval Bruges. 2–4 in 60–75 minutes. Very replayable card-driven design.,Card-drafting Renaissance city building,Asmodee USA Direct,$44.99,$35.99
55,Castles of Mad King Ludwig,Mid-Weight Strategy,,232,7.50,2.6,Players buy and place rooms to build unique castles. Plays 1–4 in 90 minutes. The auction mechanic and room combinations create deep replayability.,Room-placement castle building; beloved design,Alliance Game Distributors,$49.99,$39.99
56,Caylus 1303,Mid-Weight Strategy,,,,,Updated version of the classic worker placement game Caylus. Plays 2–5 in 60–90 minutes. High depth-to-teach ratio.,Updated Caylus; efficient worker placement classic,Alliance Game Distributors,$54.99,$43.99
57,Century: Eastern Wonders,Mid-Weight Strategy,,897,7.10,2.1,Combines Century spice trading with a shared island map for route building. Plays 2–4 in 45–60 minutes. Links with Spice Road for a mega-game.,Spice trading on an island map; network building,Alliance Game Distributors,$44.99,$36.99
58,Champions of Midgard,Mid-Weight Strategy,,165,7.70,2.6,Players recruit warriors and roll combat dice against monsters. Plays 2–4 in 60–90 minutes. Very accessible theme with genuine hobbyist depth.,Viking dice-combat worker placement,Alliance Game Distributors,$49.99,$39.99
59,Charterstone,Mid-Weight Strategy,,630,7.18,2.9,Legacy worker placement where the village grows across 12 sessions. Plays 1–6. Encourages return visits across a dedicated customer group.,Legacy village building; 12-game campaign,Alliance Game Distributors,$65.00,$51.99
60,Clank!,Mid-Weight Strategy,,98,7.76,2.2,Players build decks while sneaking through a dragon's dungeon. Make noise and get damaged. Plays 2–4 in 45–90 minutes. Excellent theme integration.,Deck-building dungeon delve; push your luck,Alliance Game Distributors,$59.99,$47.99
61,Coimbra,Mid-Weight Strategy,,261,7.60,3.2,Players assign dice to actions and monasteries in Renaissance Portugal. Plays 2–4 in 60–90 minutes. Beautiful and tense.,Renaissance Portugal dice placement; tense auctions,Alliance Game Distributors,$59.99,$47.99
62,Dead Reckoning,Mid-Weight Strategy,,364,8.15,3.4,Players are pirate captains building ships and controlling seas. 2–4 in 60–120 minutes. Deep and thematic pirate simulation.,Pirate adventure deck and engine building,Alliance Game Distributors,$69.99,$55.99
63,Dominion,Mid-Weight Strategy,,145,7.60,2.3,The game that created the deck-building genre. Plays 2–6 in 30–45 minutes. Essential historical title — every serious hobbyist should play it.,The original deck-builder; still essential,Alliance Game Distributors,$44.99,$35.99
64,Dune: Imperium,Mid-Weight Strategy,,6,8.41,3.1,"BGG rank #6, rating 8.22, weight 3.1. 1–4 in 60–120 minutes. Massive IP recognition from the films. One of the best-received games of the past five years. Strong hobbyist and casual crossover.",Dune-licensed deck-building worker placement; BGG rank #6,Alliance Game Distributors,$64.99,$51.99
65,Dungeon Petz,Mid-Weight Strategy,,372,7.38,3.6,Players raise dungeon monsters for sale to overlords. Plays 2–4 in 90 minutes. Humorous theme with serious mechanics.,Competing pet shop owners raising monsters,Alliance Game Distributors,$49.99,$39.99
66,El Grande,Mid-Weight Strategy,,100,7.77,2.9,Players place Caballeros to control Spanish regions in a historical political game. 2–5 in 60–90 minutes. One of the great classic designs.,Classic area control with Grandees; timeless design,Alliance Game Distributors,$59.99,$47.99
67,Era: Medieval Age,Mid-Weight Strategy,,,,,Players build physical cities from plastic pieces guided by dice rolls. 1–4 in 45–60 minutes. The 3D construction element is visually engaging.,Roll-and-write city building in 3D,Alliance Game Distributors,$49.99,$39.99
68,Evolution,Mid-Weight Strategy,,774,7.01,2.4,Players evolve species with traits in a shared ecosystem. Teaching biology through play. Plays 2–6 in 60 minutes. Strong theme integration.,Ecosystem simulation; carnivores and herbivores,Alliance Game Distributors,$54.99,$43.99
69,Five Tribes,Mid-Weight Strategy,,95,7.76,2.8,Mancala-style movement to manipulate five colored tribes. Plays 2–4 in 40–80 minutes. Unusual mechanism with high decision-space.,Arabian Nights mancala worker placement,Asmodee USA Direct,$59.99,$47.99
70,Furnace,Mid-Weight Strategy,,407,7.39,2.3,Capitalists bid on company cards in an industrial setting. Plays 2–4 in 30–60 minutes. Excellent shorter mid-weight option.,Industrial Revolution engine-builder; fast and punchy,Alliance Game Distributors,$44.99,$36.99
71,Glen More II: Chronicles,Mid-Weight Strategy,,205,7.86,3.0,"Players expand Scottish clans, acquiring tiles and resources. 2–4 players in 60–120 minutes. Strong hobbyist following.",Scottish tile expansion; complex regional economy,Alliance Game Distributors,$54.99,$43.99
72,Grand Austria Hotel,Mid-Weight Strategy,,67,7.96,3.2,Players run a fin-de-siècle hotel satisfying demanding guests. 2–4 in 60–120 minutes. Atmospheric Dark Academia alignment. Dice-drafting mechanism is more accessible than most mid-weights.,Viennese hotel management; elegant dice worker placement,Alliance Game Distributors,$54.99,$43.99
73,Great Western Trail,Mid-Weight Strategy,,19,8.15,3.7,Players drive cattle herds while building a card deck and rail network. 1–4 in 75–150 minutes. One of the most acclaimed designs of the past decade.,Cattle drive deck-building route optimization,Alliance Game Distributors,$59.99,$47.99
74,Hadara,Mid-Weight Strategy,,571,7.38,2.2,Players draft civilization cards in a column-and-era format. 2–5 in 45–75 minutes. Strong alternative for groups who find 7 Wonders too fast.,Civilization card drafting; fast and focused,Alliance Game Distributors,$49.99,$39.99
75,Hansa Teutonica,Mid-Weight Strategy,,147,7.75,3.1,"Players build trading networks in medieval Germany. Plays 2–5 in 30–90 minutes. Subtle, high-depth game beloved by dedicated hobbyists.",Network-building classic; deep and understated,Alliance Game Distributors,$54.99,$43.99
76,Imperial,Mid-Weight Strategy,,368,7.59,3.6,Players invest in European empires rather than controlling them directly. 2–6 in 90–180 minutes. Unusual and thought-provoking.,Geopolitical investment game; control empires,Alliance Game Distributors,$54.99,$43.99
77,Imperial Settlers,Mid-Weight Strategy,,394,7.29,2.8,Players develop civilizations using card chains without direct combat. Plays 1–4 in 45–90 minutes. Distinctive asymmetric faction design.,Civilization card-building without war,Alliance Game Distributors,$44.99,$35.99
78,Innovation,Mid-Weight Strategy,,379,7.32,2.8,"Players develop civilizations from cards representing human innovations. Very fast, very chaotic. 2–4 in 30–60 minutes.",Civilization card game; radical and unpredictable,Alliance Game Distributors,$24.99,$19.99
79,Kingdom Builder,Mid-Weight Strategy,,778,6.93,2.1,Players build kingdoms using randomly drawn scoring conditions and board sections. Plays 2–4 in 45 minutes. Fast once learned.,Modular territory building; different every game,Alliance Game Distributors,$44.99,$36.99
80,Kingsburg,Mid-Weight Strategy,,542,7.17,2.4,Players advise the king by placing dice with matching sums. 2–5 in 90 minutes. Very accessible dice worker placement.,Dice worker placement for the king; year-end battles,Asmodee USA Direct,$49.99,$39.99
81,Le Havre,Mid-Weight Strategy,,80,7.83,3.7,"BGG rank #80, rating 7.66, weight 3.7. 1–5 in 30–150 minutes. Uwe Rosenberg's most accessible long game. Beloved by serious mid-weight players.",Port-city resource conversion; BGG rank #80,Alliance Game Distributors,$54.99,$43.99
82,Lewis & Clark,Mid-Weight Strategy,,,,,Players recruit explorers to efficiently traverse the continent. 1–5 in 60–120 minutes. Complex hand management in an accessible theme.,Hand management race to the Pacific,Alliance Game Distributors,$54.99,$43.99
83,Lords of Waterdeep,Mid-Weight Strategy,,106,7.73,2.4,Plays 2–5 in 60–120 minutes. D&D worker placement with strong IP recognition. Good bridge between casual visitors and serious hobbyists.,"D&D worker placement; strong IP, accessible mechanics",Alliance Game Distributors,$49.99,$39.99
84,Lost Ruins of Arnak,Mid-Weight Strategy,,30,8.08,2.9,Combines deck-building with worker placement in an archaeological setting. Plays 1–4 in 30–120 minutes. Strong hobbyist and casual crossover.,Exploration deck-builder meets worker placement,Alliance Game Distributors,$59.99,$47.99
85,Maracaibo,Mid-Weight Strategy,,87,7.94,3.9,Players sail the Caribbean pursuing story objectives and building influence. Plays 1–4 in 30–120 minutes. Rich theme and high replayability.,Caribbean adventure exploration game,Alliance Game Distributors,$64.99,$51.99
86,Marco Polo,Mid-Weight Strategy,,120,7.76,3.2,Players travel from Venice to Beijing with unique character powers. 2–4 in 90 minutes. High asymmetry and strong theme.,Asymmetric dice worker placement; travel the Silk Road,Alliance Game Distributors,$59.99,$47.99
87,Marco Polo II: In the Service of the Khan,Mid-Weight Strategy,,203,7.92,3.4,Standalone sequel to Marco Polo with new characters and refined rules. 2–4 in 90 minutes. Complements the original for regulars who have played it. Standalone for new players.,"Marco Polo sequel; refined mechanics, new characters",Alliance Game Distributors,$59.99,$47.99
88,Nations,Mid-Weight Strategy,,269,7.59,3.5,Players develop civilizations from Antiquity to the early 20th century. 1–5 in 40–200 minutes. Deep and variable.,Civilization card drafting through the ages,Asmodee USA Direct,$59.99,$47.99
89,Nidavellir,Mid-Weight Strategy,,254,7.55,2.1,Players recruit dwarves to build armies at a Norse tavern. 2–5 in 45 minutes. Faster than most mid-weight games with strong depth.,Viking dwarf recruitment card game; fast mid-weight,Alliance Game Distributors,$44.99,$35.99
90,Notre Dame,Mid-Weight Strategy,,462,7.31,2.7,Players develop their sections of Paris around Notre Dame cathedral. 2–5 players in 75 minutes. Dense game that plays quickly once learned.,Area influence with card drafting; short mid-weight,Alliance Game Distributors,$44.99,$35.99
91,Orléans,Mid-Weight Strategy,,36,8.05,3.0,Players draw workers from a bag to take actions. Clean bag-building implementation. Plays 2–4 in 90 minutes. High replayability.,Bag-building economic game; medieval France,Alliance Game Distributors,$59.99,$47.99
92,Pandemic Legacy: Season 0,Mid-Weight Strategy,,59,8.34,3.2,Players are Cold War spies preventing a global conspiracy. 2–4 in 60 minutes. Distinct from base Pandemic — covert travel and disguises replace disease cubes. Strong thematic differentiation.,Cold War spy Pandemic; completely new theme,Asmodee USA Direct,$44.99,$35.99
93,Planet Unknown,Mid-Weight Strategy,,168,7.76,2.2,Players simultaneously place tiles on personal planet boards from a shared spinner. 1–6 in 60–80 minutes. Simultaneous play eliminates downtime.,Simultaneous polyomino planet terraforming,Alliance Game Distributors,$64.99,$51.99
94,Puerto Rico,Mid-Weight Strategy,,55,7.90,3.3,One of the most-acclaimed games of all time. Role selection and plantation management in 90 minutes for 3–5. Essential historical hobbyist title.,Classic role-selection plantation management,Alliance Game Distributors,$44.99,$36.99
95,Ra,Mid-Weight Strategy,,117,7.71,2.3,Players bid lots in Egyptian auctions with limited tokens. 3–5 in 45–60 minutes. Reiner Knizia's auction masterpiece.,Ancient Egypt auction; elegant and brutal,Alliance Game Distributors,$44.99,$36.99
96,Raiders of Scythia,Mid-Weight Strategy,,398,7.69,2.8,Companion to Raiders of the North Sea set in ancient Scythia. Plays 2–4 in 60–90 minutes. Good alternative if players want a different map and faction.,Scythian-era Raiders of the North Sea companion,Alliance Game Distributors,$54.99,$43.99
97,Raiders of the North Sea,Mid-Weight Strategy,,134,7.72,2.6,Players recruit crew and raid settlements for rewards. Plays 2–4 in 60–80 minutes. Highly thematic and visually compelling.,Viking raiding worker placement; visceral theme,Alliance Game Distributors,$54.99,$43.99
98,Roll for the Galaxy,Mid-Weight Strategy,,171,7.56,2.8,Uses dice to power phases rather than card iconography — much more accessible than Race for the Galaxy. Plays 2–5 in 45 minutes.,Dice-driven galaxy building; Race for the Galaxy accessible version,Alliance Game Distributors,$59.99,$47.99
99,Root,Mid-Weight Strategy,,34,8.07,3.8,Each faction plays completely differently. Plays 2–4 in 60–90 minutes. Generates passionate discussion and repeat visits to try new factions.,Asymmetric woodland warfare; sophisticated design,Alliance Game Distributors,$60.00,$47.99
100,Scythe,Mid-Weight Strategy,,26,8.10,3.5,One of the most visually striking games ever published. Plays 1–5 in 90–115 minutes. Staff-teachable in 20 minutes. Brings hobbyists in specifically to play it.,Area control with diesel-punk art; prestige title,Alliance Game Distributors,$80.00,$62.99
101,Seasons,Mid-Weight Strategy,,349,7.33,2.8,Players draft dice to summon creatures across four seasons. 2–4 players in 60–80 minutes. Very attractive production values.,Magical dice-drafting card game; beautiful art,Asmodee USA Direct,$54.99,$43.99
102,Shadows Over Camelot,Mid-Weight Strategy,,591,7.10,2.6,Players quest together while one may be a traitor. Plays 3–7 in 60–90 minutes. One of the original semi-cooperative designs.,Semi-cooperative Arthurian adventure; traitor possible,Asmodee USA Direct,$59.99,$47.99
103,Steampunk Rally,Mid-Weight Strategy,,907,7.13,2.6,Players build machines from cards and channel dice as energy. Plays 2–8 in 45–75 minutes. The simultaneous building phase is unique.,Dice-channeling machine-building race,Alliance Game Distributors,$49.99,$39.99
104,Stone Age,Mid-Weight Strategy,,187,7.51,2.5,Dice-based worker placement in a cave-person setting. Plays 2–4 in 60–90 minutes. The most accessible gateway into genuine mid-weight strategy.,Prehistoric worker placement; most approachable mid-weight,Asmodee USA Direct,$49.99,$39.99
105,Suburbia,Mid-Weight Strategy,,247,7.46,2.8,"Players build suburbs by placing hex tiles, managing income and reputation. 1–4 in 60–90 minutes. Deep economic simulation in an accessible theme.",Hex tile city building; economic simulation,Alliance Game Distributors,$59.99,$47.99
106,Tapestry,Mid-Weight Strategy,,295,7.44,3.0,"Players advance civilizations across science, technology, exploration, and military tracks. 1–5 in 60–120 minutes. Controversial but compelling.",Civilization building with stunning components,Alliance Game Distributors,$99.00,$79.99
107,Terra Mystica,Mid-Weight Strategy,,35,8.03,4.0,14 asymmetric factions transform terrain in a shared world. 2–5 in 60–150 minutes. Complex but deeply rewarding. Hobbyist benchmark.,Faction-building terraforming strategy; deep and asymmetric,Asmodee USA Direct,$79.99,$63.99
108,Terraforming Mars,Mid-Weight Strategy,,9,8.34,3.3,"1–5 players, 90–120 minutes. The quintessential mid-weight engine builder. Every serious hobbyist knows it. Signals that Merry Meeple takes gaming seriously.",Deep engine building; hobbyist icon,Alliance Game Distributors,$69.99,$55.99
109,The Castles of Burgundy,Mid-Weight Strategy,,15,8.16,3.0,Players select and place estate tiles across dozens of hex boards. 2–4 in 30–90 minutes. One of the highest-rated games ever. Dice-placement accessible to gateway players stepping up.,Dice-placement tile drafting; most replayable mid-weight,Alliance Game Distributors,$49.99,$39.99
110,The Estates,Mid-Weight Strategy,,825,7.42,2.3,Players bid on building pieces to score the winning district — while potentially sabotaging each other's scores. Plays 2–5 in 40–60 minutes.,Cutthroat auction city building; betrayal possible,Alliance Game Distributors,$59.99,$47.99
111,Through the Desert,Mid-Weight Strategy,,537,7.19,2.2,Players chain camels across the desert to enclose oases and sections. 2–5 in 30–60 minutes. Reiner Knizia abstract at its most accessible.,Abstract camel-caravan area control; elegant,Asmodee USA Direct,$34.99,$27.99
112,Troyes,Mid-Weight Strategy,,139,7.70,3.4,Players buy and allocate dice to build in medieval Troyes. 2–4 in 90 minutes. High complexity ceiling loved by serious hobbyists.,Dice allocation medieval cathedral building,Alliance Game Distributors,$59.99,$47.99
113,Tzolk'in: The Mayan Calendar,Mid-Weight Strategy,,72,7.85,3.7,Workers placed on rotating gears gain power over time. Plays 2–4 in 90 minutes. The physical gears mechanism is a café table attraction.,Interlocking gear worker placement; visually unique,Alliance Game Distributors,$59.99,$47.99
