row,Game Name,Category,NYC,BGG ID,BGG Rank,Avg Rating,Geek Rating,Weight,Year,Min Players,Max Players,Best Players,Recommended Players,Min Age (Manufacturer),Community Age,Min Playtime,Max Playtime,Designers,BGG Categories,Mechanics,Themes,Fans Also Like,Match Confidence,Match Method,Description
14,Decrypto,Party,,225694,117,7.76694,7.54907,1.8253968253968254,2018,3,8,"4, 6",4-8,12,10+,15,45,Thomas Dagenais-Lespérance,Deduction | Party Game | Spies / Secret Agents | Word Game,Communication Limits | Paper-and-Pencil | Targeted Clues | Team-Based Game,Theme: Retro | Word Games: Guess the Word,Cryptid | A Fake Artist Goes to New York | Skull | Codenames | The Crew: The Quest for Planet Nine | The Crew: Mission Deep Sea | Deception: Murder in Hong Kong | Hanabi | Ready Set Bet | The Search for Planet X | Captain Sonar | Just One | Telestrations | QE | Detective Club | Wavelength | The Resistance: Avalon | Love Letter | The Gang | That's Not a Hat | SCOUT | Blood on the Clocktower | Codenames: Pictures | Mind MGMT: The Psychic Espionage “Game.” | The Mind | Pictomania (Second Edition) | Letter Jam | Deep Sea Adventure,1.00,auto,"Players compete in two teams in Decrypto, with each trying to correctly interpret the coded messages presented to them by their teammates while cracking the codes they intercept from the opposing team. In more detail, each team has its own screen, and in this screen they tuck four cards in pockets numbered 1-4, letting everyone on the same team see the words on these cards while hiding the words from the opposing team. In the first round, each team does the following: one team member takes a code card that shows three of the digits 1-4 in some order, e.g., 4-2-1. They then give a coded message"
15,Dixit,Party,,39856,424,7.18112,7.06621,1.1922160444797458,2008,3,6,5-6,"4-6, 7",8,8+,30,30,Jean-Louis Roubira,Card Game | Humor | Party Game,Race | Singing | Storytelling | Targeted Clues | Voting,,Codenames | The Mind | Codenames: Pictures | Love Letter | BANG! The Dice Game | Dixit: Odyssey | Concept | Telestrations | Cryptid | Hanabi | Magic Maze | Carcassonne | Pandemic | Spyfall | Ticket to Ride: Europe | Sushi Go Party! | Citadels | Mysterium | Catan | Decrypto | Codenames: Duet | The Crew: The Quest for Planet Nine | Saboteur | Secret Hitler | Love Letter | Coup | Sheriff of Nottingham | Bohnanza,1.00,auto,"Each turn in Dixit, one player is the storyteller who chooses one of the six cards in their hand, then expresses an idea, with sounds or words, that is reflected on that card's image, and places the card face down on the playing surface. Each other player then selects the card that best matches that expression, and passes the selected card to the storyteller, face down. The storyteller shuffles all the cards together, then turns them over to reveal them. Each player other than the storyteller then secretly guesses which card belongs to the storyteller. If nobody or everybody guesses the correc"
16,Escape: The Curse of the Temple,Party,,113294,822,6.95063,6.75131,1.4781382228490831,2012,1,5,4,1-5,8,8+,10,10,Kristian Amundsen Østby,Action / Dexterity | Adventure | Dice | Electronic | Exploration | Real-time,Cooperative Game | Dice Rolling | Elapsed Real Time Ending | Grid Movement | Modular Board | Physical Removal | Push Your Luck | Re-rolling and Locking | Real-Time | Roll / Spin and Move | Solo / Solitaire Game | Tile Placement,Category: Dungeon Crawler | Crowdfunding: Kickstarter | Occupation: Adventurer / Explorer | Series: Yellow Wave Box (Queen) | Theme: Archaeology / Paleontology | Theme: Temple,Pandemic: The Cure | Flash Point: Fire Rescue | Galaxy Trucker | FUSE | Ghost Stories | Raptor | Jamaica | Pandemic | Forbidden Desert | Sheriff of Nottingham | Spyfall | King of New York | The Grizzled | Iberia | Lords of Waterdeep | Ca$h 'n Guns: Second Edition | Shadows over Camelot | Paperback | Welcome to the Dungeon | Flick 'em Up! | BANG! The Dice Game | Pandemic Legacy: Season 1 | Dead of Winter: A Crossroads Game | Between Two Cities | Dominion | Tales & Games: The Hare & the Tortoise | Roll Player | Love Letter,1.00,auto,"Escape: The Curse of the Temple is a cooperative game in which players must escape (yes...) from a temple (yes...) which is cursed (yes...) before the temple collapses and kills one or more explorers, thereby causing everyone to lose. The initial game board consists of a row of three square tiles, each showing a combination of two symbols, say, two green adventurers or one green adventurer and one blue key in one corner of the tile. All of the explorers start in the center tile – the safe room – and each player starts with a hand of five dice. Escape is played in real-time, with all players ro"
17,Fake Artist Goes to New York,Party,★,135779,754,7.1057,6.79893,1.0978260869565217,2011,5,10,6-7,5-10,8,8+,20,20,Jun Sasaki,Bluffing | Deduction | Party Game,Hidden Roles | Line Drawing | Targeted Clues,"Cities: New York (New York, USA) | Country: USA | Theme: Art",Decrypto | Skull | Cockroach Poker | QE | Wavelength | That's Not a Hat | Ready Set Bet | SCOUT | Deception: Murder in Hong Kong | Just One | Deep Sea Adventure | So Clover! | Cryptid | DroPolter | Pictomania (Second Edition) | Captain Sonar | Codenames | The Crew: Mission Deep Sea | Letter Jam | Crokinole | The Mind | The Crew: The Quest for Planet Nine | Blood on the Clocktower | No Thanks! | KLASK | Hanabi | Two Rooms and a Boom | The Gang,0.88,auto,"Fake Artist Goes to New York – is a party game for 5-10 players. Players take turns being the Question Master, whose role is to set a category, write a word within that category on dry erase cards, and hand those out to other players as artists. At the same time, one player will have only an ""X"" written on his card: they are the fake artist! Players will then go around the table twice, drawing one contiguous stroke each on a paper to draw the word established by the Question Master, then guess who the fake artist is. If the fake artist is not caught, both the fake artist and the Question Maste"
18,For Sale,Party,,172,354,7.26585,7.13982,1.250137741046832,1997,3,6,5,3-6,10,8+,30,30,Stefan Dorra,Card Game | Economic,Auction / Bidding | Auction: Sealed Bid | Auction: Turn Order Until Pass | Hand Management | Selection Order Bid,Series: Bookshelf (Gryphon Games) | Series: For Sale | Series: Mini Games (IELLO),"No Thanks! | Lost Cities | Arboretum | Coloretto | Diamant | Jaipur | The Fox in the Forest | Cat in the Box: Deluxe Edition | Stockpile | The Quest for El Dorado | Downforce | Ra | Biblios | Take 5 | Santorini | Ethnos | Crokinole | Hanamikoji | Can't Stop | My City | Azul | Targi | Hey, That's My Fish! | High Society | Mandala | Innovation | SCOUT | Patchwork",1.00,auto,"For Sale is a quick, fun game nominally about buying and selling real estate. During the game's two distinct phases, players first bid for several buildings then, after all buildings have been bought, sell the buildings for the greatest profit possible. The original Ravensburger/FX Schmid edition (1997/98) has slightly different rules than later English editions, and only 20 buildings instead of 30. The Überplay 2005 Edition has new art, rules and card distribution changes, and it accommodates 3-6 players. The Gryphon 2009 Edition uses the &Uuml;berplay art for the faces of the property cards,"
19,Happy Salmon,Party,,194626,1781,6.64861,6.32506,1.0592592592592593,2016,3,8,5-6,4-8,6,5+,2,2,Ken Gruhl | Quentin Weir | Matthew Inman | Elan Lee,Animals | Children's Game | Party Game | Real-time,Real-Time,Animals: Fish / Fishes | Containers: Unique Shape | Containers: Zippered Pouch | Series: Happy Planet (North Star Games),MANTIS | Taco Cat Goat Cheese Pizza | The Mind | Camel Up (Second Edition) | Tapple | Hues and Cues | That's Not a Hat | Wavelength | Magic Maze | KLASK | Hand-to-Hand Wombat | Sushi Go Party! | 5-Minute Dungeon | 5-Minute Mystery | Codenames | Dixit | ICECOOL | Codenames: Pictures | Sheriff of Nottingham: 2nd Edition | Mysterium Park | Codenames: Duet | One Night Ultimate Werewolf | The Fuzzies | Kites | Telestrations | Deep Sea Adventure | Sushi Go! | Just One,1.00,auto,"Happy Salmon is a simple, ultra-fast, very silly card game. There are no turns. Players call out the action shown on their cards as fast as they can. When two players have a match, they celebrate by performing the action. Actions include the classic ""High 5"", the unifying ""Pound It"", the frantic ""Switcheroo"", and the delightful and bizarre ""Happy Salmon"". Each time a player celebrates a match, they quickly discard a card. The first person to get rid of all their cards wins."
20,Inhuman Conditions,Party,,261403,3365,7.21034,5.96904,1.9583333333333333,2020,2,2,2,"2, 3",12,12+,5,5,Alan Gerding | Tommy Maranges | Cory O'Brien,Bluffing | Deduction | Party Game | Real-time | Science Fiction,Acting | Elapsed Real Time Ending | Hidden Roles | Pattern Recognition | Role Playing | Storytelling,Crowdfunding: Kickstarter | Theme: Cyberpunk | Theme: Retro | Theme: Robots,Monikers | Escape from the Aliens in Outer Space | Two Rooms and a Boom | Burgle Bros 2: The Casino Capers | Captain Sonar | Deception: Murder in Hong Kong | Fog of Love | Betrayal Legacy | Wavelength | Vast: The Mysterious Manor | Cosmic Encounter | Catacombs (Third Edition) | Cockroach Poker | Coup | Mantis Falls | Kabuto Sumo | Dream Crush | Betrayal at House on the Hill | Crokinole | Skull | A Fake Artist Goes to New York | The King's Dilemma | Sheriff of Nottingham | Nuns on the Run | Werewords Deluxe Edition | Moonrakers | Oceans | Letter Jam,1.00,auto,"From the co-creators of Secret Hitler & Better Myths: a Blade Runner-inspired, five-minute party game for two players. Inhuman Conditions is a five-minute, two-player game of surreal interrogation and conversational judo, set in the heart of a chilling bureaucracy. Each game has one Investigator and one Suspect. Armed only with two stamps and a topic of conversation, the Investigator must figure out whether the Suspect is a Human or a Robot. Robots must answer the Investigator's questions without arousing suspicion, but are hampered by some specific malfunction in their ability to converse. Th"
21,Jenga,Party,,2452,10346,5.66506,5.5831,1.1005714285714285,1983,1,8,4,2-6,6,5+,20,20,Leslie Scott,Action / Dexterity | Party Game,Physical Removal | Single Loser Game | Stacking and Balancing,Animals: Dogs | Characters: Tarzan | Containers: Tubes | Holidays: Christmas | Holidays: Halloween | Movies: The Nightmare Before Christmas | Promotional: Board Games | Series: World's Smallest (Super Impulse) | Theme: US National Parks | TV Shows: Doctor Who | TV Shows: Hanna-Barbera | TV Shows: Scooby-Doo! | Versions & Editions: Travel Versions of Non-Travel Games,UNO | Scrabble | Twister | Monopoly | Dominoes | Connect Four | Rummikub | Guess Who? | Pictionary | Battleship | Mastermind | Chess | Risk | Clue | Kalah | The Game of Life | Exploding Kittens | Stratego | Boggle | Taboo | Bingo | Checkers | Pass the Pigs | Monopoly Deal Card Game | Bananagrams | Yahtzee | Pachisi | Poker,1.00,auto,"Jenga is tower building game played with 54 wooden blocks; each block is 3 times as long as it is wide, and slightly smaller in height than in width. The blocks are stacked in a tower formation; each story is three blocks placed adjacent to each other along their long side, and each story is placed perpendicular to the previous (so, for example, if the blocks in the first story are pointing north-south, the second story blocks will point east-west). There are therefore 18 stories to the Jenga tower. Since stacking the blocks neatly can be tedious, a plastic loading tray is included. Once the t"
22,Jungle Speed,Party,,8098,2062,6.44926,6.24225,1.1286713286713286,1997,2,10,5-6,"3-8, 10",7,6+,10,10,Thomas Vuarchex | Pierrick Yakovenko,Action / Dexterity | Card Game | Party Game | Real-time,Pattern Recognition | Speed Matching,,The Werewolves of Miller's Hollow | Dixit | Saboteur | Cheating Moth | Mascarade | Time's Up! | The Mind | Spot it! | Concept | Citadels | Dixit: Odyssey | Timeline: Inventions | Codenames: Pictures | Ghost Blitz | Love Letter | Room 25 | Rummikub | Secret Hitler | Kluster | Codenames | BANG! | Exploding Kittens | 6 nimmt! 25 Jahre | Ticket to Ride: Europe | Mysterium | Perudo | Fauna | Survive: Escape from Atlantis!,1.00,auto,"In Jungle Speed, you must rely on your keen sense of observation and quick reflexes. It requires a steady hand -- which can be hard to maintain during the many fits of maniacal laughter! The wooden Totem sits in the middle of the table, waiting for the player with the fastest reflexes to snatch it up and win the game. Each player is dealt a hand of cards. In order to win you must be the first player to get rid of all of your cards. Each turn, all of the players reveal one of their cards. If two cards are identical, those players must make a grab for the Totem. The faster player then gives thei"
23,Just One,Party,,254640,158,7.59271,7.43715,1.0338235294117648,2018,3,7,6-7,"4-7, 8",8,8+,20,60,Ludovic Roudy | Bruno Sautter,Deduction | Party Game | Word Game,Communication Limits | Cooperative Game | Deduction | Score-and-Reset Game,Word Games: Guess the Word,So Clover! | The Crew: The Quest for Planet Nine | Codenames | Quacks | Hanabi | The Crew: Mission Deep Sea | Flip 7 | Codenames: Duet | Skull | Diamant | Point Salad | Ready Set Bet | A Fake Artist Goes to New York | Decrypto | Magic Maze | Azul | Sky Team | Letter Jam | Wingspan | Sushi Go Party! | Love Letter | King of Tokyo | My City | QE | Cascadia | PARKS | Stella: Dixit Universe | Santorini,1.00,auto,"Just One is a co-operative party game in which you all play together to get the best score! Your goal each round is to get one player — the active player — to guess a mystery word based on the clues given by teammates. Can you achieve a perfect score by guessing all the mystery words? In more detail, everyone who is not the active player sees the mystery word, then each player independently writes a clue on their personal easel. Once everyone has finished, you reveal the clues to one another. All identical clues are removed from play, so try to be original! After eliminating duplicate clues, r"
24,King of Tokyo,Party,,70323,491,7.1143,7.00875,1.4836734693877551,2011,2,6,4-5,3-6,8,6+,30,30,Richard Garfield,Dice | Fighting | Movies / TV / Radio theme | Science Fiction,Dice Rolling | Die Icon Resolution | King of the Hill | Open Drafting | Player Elimination | Push Your Luck | Re-rolling and Locking | Take That,Category: DIZED Tutorial | Cities: Tokyo (Japan) | Country: Japan | Creatures: Aliens / Extraterrestrials | Creatures: Monsters | Theme: Kaiju | Theme: Villainy,Santorini | Love Letter | Downforce | Splendor | Pandemic | Kingdomino | Hanabi | Dice Forge | Photosynthesis | Small World | 7 Wonders | Takenoko | Azul | Sushi Go! | 7 Wonders Duel | The Crew: The Quest for Planet Nine | Carcassonne | Space Base | Sushi Go Party! | Ticket to Ride | Patchwork | Wingspan | Jaipur | Diamant | Burgle Bros. | Point Salad | Castles of Mad King Ludwig | Welcome To...,1.00,auto,"In King of Tokyo, you play mutant monsters, gigantic robots, and strange aliens—all of whom are destroying Tokyo and whacking each other in order to become the one and only King of Tokyo. At the start of each turn, you roll six dice, which show the following six symbols: 1, 2, or 3 Victory Points, Energy, Heal, and Attack. Over three successive throws, choose whether to keep or discard each die in order to win victory points, gain energy, restore health, or attack other players into understanding that Tokyo is YOUR territory. The fiercest player will occupy Tokyo, and earn extra victory points"
25,Llama,Party,,266083,1953,6.4926,6.27531,1.0535714285714286,2019,2,6,4-5,3-6,8,6+,20,20,Reiner Knizia,Card Game | Number,Hand Management | Ladder Climbing | Matching | Push Your Luck,Animals: Llamas / Alpacas | Card Games: Climbing | Card Games: Shedding / Stops | Series: Beveled Boxes (Gigamic),"Take 5 | Coloretto | Lost Cities | Diamant | No Thanks! | For Sale | Can't Stop | MLEM: Space Agency | Azul | Patchwork | Jaipur | My City | Pick-omino | Point Salad | Skull King | Mandala | Wandering Towers | Sea Salt & Paper | Hey, That's My Fish! | Flip 7 | Ohanami | Kingdomino | That's Pretty Clever! | Just One | Snailed It! | Hanamikoji | Arboretum | The Quest for El Dorado",1.00,auto,"In LLAMA, you want to dump cards from your hand as quickly as you can, but you might not be able to play what you want, so do you quit and freeze your hand or draw and hope to keep playing? Each player starts a round with six cards in hand; the deck consists of llama cards and cards numbered 1-6, with eight copies of each. On a turn, the active player can play a card, draw a card, or quit. To play a card, you must play the same number as the top card of the discard pile or one number higher. If a 6 is on the discard pile, you can play a 6 or a llama, and if a llama is on top, you can play anot"
26,Monikers,Party,,156546,301,7.7592,7.20307,1.0909090909090908,2015,4,16,"6, 8, 10","4-12, 14",17,14+,30,60,Alex Hague | Justin Vickers,Card Game | Humor | Mature / Adult | Party Game | Print & Play,Acting | Communication Limits | Open Drafting | Role Playing | Singing | Team-Based Game,Crowdfunding: Kickstarter | Traditional Games: Charades,"Wavelength | Werewords Deluxe Edition | Cockroach Poker | Deception: Murder in Hong Kong | Skull | Crokinole | One Night Ultimate Werewolf | A Fake Artist Goes to New York | Coup | Escape from the Aliens in Outer Space | Two Rooms and a Boom | So Clover! | Snake Oil | Long Shot: The Dice Game | Captain Sonar | Don't Get Got! | Sheriff of Nottingham | Dream Crush | Letter Jam | Camel Up (Second Edition) | Time's Up! Title Recall! | The Fox in the Forest | Green Team Wins | Codenames: Duet | Ready Set Bet | Air, Land, & Sea | ito | Hot Streak",1.00,auto,"Monikers is a party game based on the public domain game Celebrities, where players take turns attempting to get their teammates to guess names by describing or imitating well-known people. In the first round, clue givers can say anything they want, except for the name itself. For the second round, clue givers can only say one word. And in the final round, clue givers can&rsquo;t say anything at all: they can only use gestures and charades."
